Encoding Id,Market,Rank,Station,Channel,Affiliate,Start Date,Start Time,Stop Date,Stop Time,Start Second,Stop Second,Seconds,Program,ISCI-20,Campaign,Advertiser,Product Name,Module Code,Phone Number,Length 
0001378977,PHOENIX,011,KSAZ,010,FOX,20200302,11:30:53,20200302,11:31:22,0000000010,0000000039,0000000045,THE REAL,AAI929130H,Aug-19,AAI,Skills DHT,30,4808682094,30
0001411261,PHOENIX,011,KSAZ,010,FOX,20200304,11:24:20,20200304,11:24:49,0000000010,0000000039,0000000045,THE REAL,AAI936330H,12/15/19,AAI,Mosaic,30,4804484773,30
0001381213,PHOENIX,011,KSAZ,010,FOX,20200305,18:58:23,20200305,18:58:37,0000000010,0000000024,0000000030,TMZ,AAI930915H,Aug-19,AAI,Distinction,15,4804484773,15
0001381213,PHOENIX,011,KSAZ,010,FOX,20200305,20:20:37,20200305,20:20:51,0000000010,0000000024,0000000030,DEPUTY,AAI930915H,Aug-19,AAI,Distinction,15,4804484773,15
0001378977,PHOENIX,011,KSAZ,010,FOX,20200306,11:31:17,20200306,11:31:46,0000000010,0000000039,0000000045,THE REAL,AAI929130H,Aug-19,AAI,Skills DHT,30,4808682094,30
0001411261,PHOENIX,011,KSAZ,010,FOX,20200307,11:06:36,20200307,11:07:05,0000000010,0000000039,0000000045,COLLEGE BASKETBALL,AAI936330H,12/15/19,AAI,Mosaic,30,4804484773,30
0001378977,PHOENIX,011,KSAZ,010,FOX,20200307,14:39:22,20200307,14:39:51,0000000010,0000000039,0000000045,FOX COLLEGE HOOPS EXTRA,AAI929130H,Aug-19,AAI,Skills DHT,30,4808682094,30
0001411261,PHOENIX,011,KSAZ,010,FOX,20200307,16:07:09,20200307,16:07:38,0000000010,0000000039,0000000045,XFL FOOTBALL,AAI936330H,12/15/19,AAI,Mosaic,30,4804484773,30
0001378977,PHOENIX,011,KSAZ,010,FOX,20200308,19:50:05,20200308,19:50:34,0000000010,0000000039,0000000045,DUNCANVILLE,AAI929130H,Aug-19,AAI,Skills DHT,30,4808682094,30
0001411261,PHOENIX,011,KSAZ,010,FOX,20200308,20:50:01,20200308,20:50:30,0000000010,0000000039,0000000045,FAMILY GUY,AAI936330H,12/15/19,AAI,Mosaic,30,4804484773,30
0001378977,CABLE TV,,FSA,,,20200302,23:58:58,20200302,23:59:27,0000000010,0000000039,0000000045,FIGHT SPORTS: BOXING,AAI929130H,Aug-19,AAI,Skills DHT,30,4808682094,30
0001411261,CABLE TV,,FSA,,,20200303,01:03:05,20200303,01:03:32,0000000011,0000000037,0000000045,MLB BASEBALL,AAI936330H,12/15/19,AAI,Mosaic,30,4804484773,30
0001378977,CABLE TV,,FSA,,,20200303,01:23:38,20200303,01:24:07,0000000010,0000000039,0000000045,MLB BASEBALL,AAI929130H,Aug-19,AAI,Skills DHT,30,4808682094,30
0001411261,CABLE TV,,FSA,,,20200304,19:42:54,20200304,19:43:23,0000000010,0000000039,0000000045,ARIZONA COYOTES ICE BREAKERS,AAI936330H,12/15/19,AAI,Mosaic,30,4804484773,30
0001378977,CABLE TV,,FSA,,,20200304,20:19:18,20200304,20:19:47,0000000010,0000000039,0000000045,COYOTES LIVE! PREGAME,AAI929130H,Aug-19,AAI,Skills DHT,30,4808682094,30
0001411261,CABLE TV,,FSA,,,20200305,21:41:39,20200305,21:42:07,0000000011,0000000039,0000000045,ARIZONA PREP SPOTLIGHT,AAI936330H,12/15/19,AAI,Mosaic,30,4804484773,30
0001378977,CABLE TV,,FSA,,,20200305,22:51:41,20200305,22:52:10,0000000010,0000000039,0000000045,FIGHT SPORTS: BOXING,AAI929130H,Aug-19,AAI,Skills DHT,30,4808682094,30
0001411261,CABLE TV,,FSA,,,20200307,01:59:27,20200307,01:59:56,0000000010,0000000039,0000000045,NHL HOCKEY,AAI936330H,12/15/19,AAI,Mosaic,30,4804484773,30
0001378977,CABLE TV,,FSA,,,20200307,12:53:58,20200307,12:54:27,0000000010,0000000039,0000000045,BRAD CESMAT'S FOOTBALL AZ,AAI929130H,Aug-19,AAI,Skills DHT,30,4808682094,30
0001411261,CABLE TV,,FSA,,,20200307,13:46:23,20200307,13:46:51,0000000011,0000000039,0000000045,MLB BASEBALL,AAI936330H,12/15/19,AAI,Mosaic,30,4804484773,30
