Encoding Id,Market,Rank,Station,Channel,Affiliate,Start Date,Start Time,Stop Date,Stop Time,Start Second,Stop Second,Seconds,Program,ISCI-20,Campaign,Advertiser,Product Name,Module Code,Phone Number,Length 
0001411265,PHILADELPHIA,004,WCAU,010,NBC,20200224,15:31:58,20200224,15:32:27,0000000010,0000000039,0000000045,THE ELLEN DEGENERES SHOW,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001399589,PHILADELPHIA,004,WCAU,010,NBC,20200225,14:38:46,20200225,14:39:15,0000000010,0000000039,0000000045,THE KELLY CLARKSON SHOW,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WCAU,010,NBC,20200226,15:40:23,20200226,15:40:52,0000000010,0000000039,0000000045,THE ELLEN DEGENERES SHOW,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001399589,PHILADELPHIA,004,WCAU,010,NBC,20200227,10:59:26,20200227,10:59:55,0000000010,0000000039,0000000045,TODAY WITH HODA & JENNA,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WCAU,010,NBC,20200227,14:30:02,20200227,14:30:31,0000000010,0000000039,0000000045,THE KELLY CLARKSON SHOW,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001399589,PHILADELPHIA,004,WPVI,006,ABC,20200224,10:35:37,20200224,10:36:06,0000000010,0000000039,0000000045,TAMRON HALL,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WPVI,006,ABC,20200225,10:56:21,20200225,10:56:50,0000000010,0000000039,0000000045,TAMRON HALL,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001399589,PHILADELPHIA,004,WTXF,029,FOX,20200224,10:40:20,20200224,10:40:49,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WTXF,029,FOX,20200225,16:12:50,20200225,16:13:19,0000000010,0000000039,0000000045,JUDGE JUDY,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001399589,PHILADELPHIA,004,WTXF,029,FOX,20200226,10:56:52,20200226,10:57:21,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WTXF,029,FOX,20200227,16:12:17,20200227,16:12:46,0000000010,0000000039,0000000045,JUDGE JUDY,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001411264,PHILADELPHIA,004,WPSG,057,CW,20200224,16:13:13,20200224,16:14:12,0000000010,0000000069,0000000075,THE MEL ROBBINS SHOW,MCPH936460H,12/15/19,McCann,Mosaic,60,4848553141,60
0001399589,PHILADELPHIA,004,WPSG,057,CW,20200224,18:28:01,20200224,18:28:30,0000000010,0000000039,0000000045,FAMILY FEUD,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WPSG,057,CW,20200225,05:24:21,20200225,05:24:50,0000000010,0000000039,0000000045,CAUGHT IN PROVIDENCE,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001399589,PHILADELPHIA,004,WPSG,057,CW,20200226,17:58:35,20200226,17:59:04,0000000010,0000000039,0000000045,HOT BENCH,MCPH934330H,10/15/19,McCann,CIMT Skills,30,4848553141,30
0001411265,PHILADELPHIA,004,WPSG,057,CW,20200228,04:49:47,20200228,04:50:16,0000000010,0000000039,0000000045,CELEBRITY PAGE,MCPH936430H,12/15/19,McCann,Mosaic,30,4848553141,30
0001402031,WILKES BARRE,060,WOLF,056,FOX,20200224,13:13:20,20200224,13:13:49,0000000010,0000000039,0000000045,HOT BENCH,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411266,WILKES BARRE,060,WOLF,056,FOX,20200224,13:53:39,20200224,13:54:38,0000000010,0000000069,0000000075,HOT BENCH,MCWB936560H,12/15/19,McCann,Mosaic,60,5703913112,60
0001411267,WILKES BARRE,060,WOLF,056,FOX,20200224,19:43:21,20200224,19:43:50,0000000010,0000000039,0000000045,THE BIG BANG THEORY,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001411266,WILKES BARRE,060,WOLF,056,FOX,20200225,14:34:44,20200225,14:35:43,0000000010,0000000069,0000000075,DR. PHIL,MCWB936560H,12/15/19,McCann,Mosaic,60,5703913112,60
0001402031,WILKES BARRE,060,WOLF,056,FOX,20200225,14:53:47,20200225,14:54:16,0000000010,0000000039,0000000045,DR. PHIL,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411267,WILKES BARRE,060,WOLF,056,FOX,20200225,19:14:37,20200225,19:15:06,0000000010,0000000039,0000000045,THE BIG BANG THEORY,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001402031,WILKES BARRE,060,WOLF,056,FOX,20200226,13:28:35,20200226,13:29:04,0000000010,0000000039,0000000045,HOT BENCH,MCWB934630H,10/15/19,McCann,Healthcare Skills,30,5703913112,30
0001411266,WILKES BARRE,060,WOLF,056,FOX,20200226,13:59:00,20200226,13:59:59,0000000010,0000000069,0000000075,HOT BENCH,MCWB936560H,12/15/19,McCann,Mosaic,60,5703913112,60
0001411267,WILKES BARRE,060,WOLF,056,FOX,20200226,20:43:25,20200226,20:43:54,0000000010,0000000039,0000000045,THE MASKED SINGER,MCWB936530H,12/15/19,McCann,Mosaic,30,5703913112,30
0001411266,WILKES BARRE,060,WOLF,056,FOX,20200227,14:32:15,20200227,14:33:14,0000000010,0000000069,0000000075,DR. PHIL,MCWB936560H,12/15/19,McCann,Mosaic,60,5703913112,60
