Encoding Id,Market,Rank,Station,Channel,Affiliate,Start Date,Start Time,Stop Date,Stop Time,Start Second,Stop Second,Seconds,Program,ISCI-20,Campaign,Advertiser,Product Name,Module Code,Phone Number,Length 
0001411284,RALEIGH,027,WRAL,005,NBC,20200224,09:57:43,20200224,09:58:12,0000000010,0000000039,0000000045,TODAY 3RD HOUR,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001403210,RALEIGH,027,WRAL,005,NBC,20200225,04:53:03,20200225,04:53:32,0000000010,0000000039,0000000045,WRAL NEWS AT 4:30AM,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411284,RALEIGH,027,WLFL,022,CW,20200224,19:41:57,20200224,19:42:26,0000000010,0000000039,0000000045,THE BIG BANG THEORY,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001403210,RALEIGH,027,WLFL,022,CW,20200226,19:40:54,20200226,19:41:23,0000000010,0000000039,0000000045,THE BIG BANG THEORY,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411283,RALEIGH,027,WNCN,017,CBS,20200224,09:30:23,20200224,09:31:22,0000000010,0000000069,0000000075,THE MEL ROBBINS SHOW,MMRD936760H,12/15/19,MMC,Mosaic,60,9104443471,60
0001403210,RALEIGH,027,WNCN,017,CBS,20200224,09:59:30,20200224,09:59:59,0000000010,0000000039,0000000045,THE MEL ROBBINS SHOW,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411284,RALEIGH,027,WNCN,017,CBS,20200224,12:25:00,20200224,12:25:29,0000000010,0000000039,0000000045,CBS 17 NEWS AT NOON,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001411283,RALEIGH,027,WNCN,017,CBS,20200224,12:40:55,20200224,12:41:54,0000000010,0000000069,0000000075,CBS 17 NEWS AT 12:30PM,MMRD936760H,12/15/19,MMC,Mosaic,60,9104443471,60
0001403210,RALEIGH,027,WNCN,017,CBS,20200224,17:53:52,20200224,17:54:21,0000000010,0000000039,0000000045,CBS 17 NEWS AT 5:30PM,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411284,RALEIGH,027,WNCN,017,CBS,20200225,12:22:30,20200225,12:22:59,0000000010,0000000039,0000000045,CBS 17 NEWS AT NOON,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001403210,RALEIGH,027,WNCN,017,CBS,20200225,12:52:58,20200225,12:53:27,0000000010,0000000039,0000000045,CBS 17 NEWS AT 12:30PM,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411284,RALEIGH,027,WNCN,017,CBS,20200225,15:23:20,20200225,15:23:49,0000000010,0000000039,0000000045,THE ELLEN DEGENERES SHOW,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001411283,RALEIGH,027,WNCN,017,CBS,20200225,15:46:27,20200225,15:47:26,0000000010,0000000069,0000000075,THE ELLEN DEGENERES SHOW,MMRD936760H,12/15/19,MMC,Mosaic,60,9104443471,60
0001403210,RALEIGH,027,WNCN,017,CBS,20200225,17:51:51,20200225,17:52:20,0000000010,0000000039,0000000045,CBS 17 NEWS AT 5:30PM,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411284,RALEIGH,027,WNCN,017,CBS,20200226,09:23:46,20200226,09:24:15,0000000010,0000000039,0000000045,THE MEL ROBBINS SHOW,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001411283,RALEIGH,027,WNCN,017,CBS,20200226,09:58:30,20200226,09:59:29,0000000010,0000000069,0000000075,THE MEL ROBBINS SHOW,MMRD936760H,12/15/19,MMC,Mosaic,60,9104443471,60
0001411283,RALEIGH,027,WNCN,017,CBS,20200226,12:52:24,20200226,12:53:23,0000000010,0000000069,0000000075,CBS 17 NEWS AT 12:30PM,MMRD936760H,12/15/19,MMC,Mosaic,60,9104443471,60
0001403210,RALEIGH,027,WNCN,017,CBS,20200226,15:39:20,20200226,15:39:49,0000000010,0000000039,0000000045,THE ELLEN DEGENERES SHOW,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411284,RALEIGH,027,WNCN,017,CBS,20200227,12:28:47,20200227,12:29:17,0000000010,0000000032,0000000045,CBS 17 NEWS AT NOON,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001403210,RALEIGH,027,WNCN,017,CBS,20200227,12:52:00,20200227,12:52:15,0000000010,0000000025,0000000045,CBS 17 NEWS AT 12:30PM,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001403210,RALEIGH,027,WNCN,017,CBS,20200227,12:52:34,20200227,12:52:36,0000000026,0000000028,0000000045,CBS 17 NEWS AT 12:30PM,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411284,RALEIGH,027,WNCN,017,CBS,20200227,17:51:56,20200227,17:52:25,0000000010,0000000039,0000000045,CBS 17 NEWS AT 5:30PM,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001403210,RALEIGH,027,WNCN,017,CBS,20200227,19:29:33,20200227,19:30:02,0000000010,0000000039,0000000045,JUDGE JUDY,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411283,RALEIGH,027,WRAZ,050,FOX,20200224,10:30:42,20200224,10:31:41,0000000010,0000000069,0000000075,THE WENDY WILLIAMS SHOW,MMRD936760H,12/15/19,MMC,Mosaic,60,9104443471,60
0001403210,RALEIGH,027,WRAZ,050,FOX,20200224,10:56:35,20200224,10:57:04,0000000010,0000000039,0000000045,THE WENDY WILLIAMS SHOW,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411284,RALEIGH,027,WRAZ,050,FOX,20200224,19:22:13,20200224,19:22:42,0000000010,0000000039,0000000045,FAMILY FEUD,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001403210,RALEIGH,027,WRAZ,050,FOX,20200224,19:51:48,20200224,19:52:17,0000000010,0000000039,0000000045,FAMILY FEUD,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411284,RALEIGH,027,WRAZ,050,FOX,20200225,09:10:30,20200225,09:10:59,0000000010,0000000039,0000000045,WRAL 9AM NEWS ON FOX50,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001403210,RALEIGH,027,WRAZ,050,FOX,20200225,09:50:25,20200225,09:50:54,0000000010,0000000039,0000000045,WRAL 9AM NEWS ON FOX50,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
0001411283,RALEIGH,027,WRAZ,050,FOX,20200225,14:11:15,20200225,14:12:14,0000000010,0000000069,0000000075,RIGHTTHISMINUTE,MMRD936760H,12/15/19,MMC,Mosaic,60,9104443471,60
0001411284,RALEIGH,027,WRAZ,050,FOX,20200225,14:39:21,20200225,14:39:50,0000000010,0000000039,0000000045,RIGHTTHISMINUTE,MMRD936730H,12/15/19,MMC,Mosaic,30,9104443471,30
0001403210,RALEIGH,027,WRAZ,050,FOX,20200225,19:27:14,20200225,19:27:44,0000000010,0000000040,0000000045,FAMILY FEUD,MMRD935130H,11/1/19,MMC,MBC Skills,30,9104443471,30
